long,lat,order,group,size,type,region
-17.363681,54.114028,1,Atlantic_North_1,5,Atlantic,North Atlantic
-7.691626,59.587484,2,Atlantic_North_1,5,Atlantic,North Atlantic
-5.585203,60.425567,3,Atlantic_North_1,5,Atlantic,North Atlantic
-3.523394,61.266563,4,Atlantic_North_1,5,Atlantic,North Atlantic
-1.98379,61.824772,5,Atlantic_North_1,5,Atlantic,North Atlantic
2.244252,62.948965,6,Atlantic_North_1,5,Atlantic,North Atlantic
4.206597,64.218501,7,Atlantic_North_1,5,Atlantic,North Atlantic
5.143704,65.68715,8,Atlantic_North_1,5,Atlantic,North Atlantic
6.448918,66.735675,9,Atlantic_North_1,5,Atlantic,North Atlantic
9.080173,67.531212,10,Atlantic_North_1,5,Atlantic,North Atlantic
10.656624,68.290493,11,Atlantic_North_1,5,Atlantic,North Atlantic
13.568487,69.0101,12,Atlantic_North_1,5,Atlantic,North Atlantic
14.39669,69.191985,13,Atlantic_North_1,5,Atlantic,North Atlantic
15.816226,69.596842,14,Atlantic_North_1,5,Atlantic,North Atlantic
16.608351,69.899962,15,Atlantic_North_1,5,Atlantic,North Atlantic
16.938482,70.068405,16,Atlantic_North_1,5,Atlantic,North Atlantic
17.17421,70.345741,17,Atlantic_North_1,5,Atlantic,North Atlantic
17.19035,70.634642,18,Atlantic_North_1,5,Atlantic,North Atlantic
17.188803,70.720695,19,Atlantic_North_1,5,Atlantic,North Atlantic
17.186855,70.828372,20,Atlantic_North_1,5,Atlantic,North Atlantic
17.17366,70.876029,21,Atlantic_North_1,5,Atlantic,North Atlantic
17.138584,70.935701,22,Atlantic_North_1,5,Atlantic,North Atlantic
17.079981,70.985564,23,Atlantic_North_1,5,Atlantic,North Atlantic
17.016019,71.069358,24,Atlantic_North_1,5,Atlantic,North Atlantic
16.918844,71.148871,25,Atlantic_North_1,5,Atlantic,North Atlantic
16.713764,71.332557,26,Atlantic_North_1,5,Atlantic,North Atlantic
16.534048,71.504373,27,Atlantic_North_1,5,Atlantic,North Atlantic
16.417136,71.605429,28,Atlantic_North_1,5,Atlantic,North Atlantic
16.263411,71.679584,29,Atlantic_North_1,5,Atlantic,North Atlantic
7.905903,79.661673,1,Atlantic_North_2,3,Atlantic,North Atlantic
7.928661,79.698017,2,Atlantic_North_2,3,Atlantic,North Atlantic
8.083332,79.803241,3,Atlantic_North_2,3,Atlantic,North Atlantic
8.194619,79.903192,4,Atlantic_North_2,3,Atlantic,North Atlantic
8.39662,79.986068,5,Atlantic_North_2,3,Atlantic,North Atlantic
8.730469,80.059842,6,Atlantic_North_2,3,Atlantic,North Atlantic
8.95201,80.108029,7,Atlantic_North_2,3,Atlantic,North Atlantic
9.391938,80.174702,8,Atlantic_North_2,3,Atlantic,North Atlantic
10.008254,80.260885,9,Atlantic_North_2,3,Atlantic,North Atlantic
10.958959,80.375531,10,Atlantic_North_2,3,Atlantic,North Atlantic
11.665299,80.454986,11,Atlantic_North_2,3,Atlantic,North Atlantic
12.351321,80.514843,12,Atlantic_North_2,3,Atlantic,North Atlantic
13.007832,80.573089,13,Atlantic_North_2,3,Atlantic,North Atlantic
13.773399,80.664771,14,Atlantic_North_2,3,Atlantic,North Atlantic
15.051461,80.693031,15,Atlantic_North_2,3,Atlantic,North Atlantic
16.124361,80.721735,16,Atlantic_North_2,3,Atlantic,North Atlantic
17.032677,80.869618,17,Atlantic_North_2,3,Atlantic,North Atlantic
17.628516,81.080055,18,Atlantic_North_2,3,Atlantic,North Atlantic
